Key,BPM,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Placering
5,107,79,70,43,1,0,8,4,1
3,128,73,59,49,2,0,22,5,0
1,110,23,43,13,79,0,11,4,0
11,140,85,67,89,4,0,31,3,0
10,132,72,56,48,0,0,7,3,0
1,202,94,62,80,37,0,21,21,0
10,126,78,59,29,3,0,44,7,1
10,117,62,72,39,11,0,3,4,0
1,79,38,56,18,39,0,16,6,0
10,169,58,45,58,34,0,25,4,0
4,117,89,82,87,25,0,16,6,1
8,123,85,57,27,3,0,7,5,0
8,178,51,33,9,22,0,11,4,1
10,120,81,65,76,19,0,12,9,1
9,150,89,52,62,2,0,64,5,1
12,148,90,53,68,1,0,22,4,0
6,77,55,46,25,61,0,50,3,0
10,125,83,48,40,8,0,12,5,1
1,118,79,80,56,1,0,20,5,0
6,80,39,45,31,51,0,9,4,0
5,120,73,57,9,5,0,5,4,2
11,120,78,54,11,3,0,35,6,1
2,138,69,53,69,17,0,18,3,0
7,97,89,46,41,0,0,37,5,2
5,104,68,49,40,1,0,16,4,1
6,128,74,66,65,24,0,24,7,0
5,116,48,55,20,34,0,16,5,0
7,150,78,55,30,24,0,12,8,2!
-------------------------------------
6,132,82,35,47,22,0,11,9,0
11,124,87,60,52,5,0,48,5,0
4,100,43,58,50,85,0,13,3,0
10,125,79,53,50,3,0,10,5,0
10,148,62,46,35,11,0,8,5,1
9,92,81,49,43,4,0,60,5,2
7,128,90,58,19,1,0,17,6,1
6,103,87,62,86,15,0,20,3,0
10,130,69,49,36,2,0,9,5,0
1,114,82,62,57,7,0,11,4,0
1,190,62,28,11,5,0,7,4,1
